Epoch,Alcohol,Beverages,Commercially prepared items,Dairy,Fats and oils,Fruits,Grains,"Meats, eggs, and nuts",Other,Sugar and sweeteners,Vegetables
1570356000000,1150829004,2049111854,4021684390,1020118646,155446698,728051862,571474851,1956477174,221777088,58203708,878530047
1570960800000,1134592715,1988769974,4107781175,1029398785,156187957,708180916,580445030,1983405561,212505386,58498955,893583950
1571565600000,1126591524,1924017472,4060575389,1010490025,152874115,692660941,564718369,1915103426,204197931,57108560,884525831
1572170400000,1131711099,1901013293,4077487513,1002486282,148886854,684487546,557123794,1862535007,198694750,56058533,885345527
1572775200000,1143307240,1889463694,4355254544,1016066339,153948808,674141589,563651490,1880811814,216684102,57854081,883671421
1573380000000,1107592564,1928991994,3962736239,1052097448,172753358,687744092,586778385,2011094827,225920023,63520475,894096292
1573984800000,1101133869,1879931365,4004046668,1058949679,179614964,682648727,588087081,2018091089,217899057,66407366,895430607
1574589600000,1209230379,1961172917,4258636794,1158234300,234891264,733094541,643410166,2233683658,246921756,84121570,998521696
1575194400000,1396777054,1917200152,4104247092,1190711010,256489449,718546314,651177910,2034400619,276965667,93643889,990675877
1575799200000,1075327168,1856300278,4062908437,1021703668,157883371,659603111,566834397,1872293747,226592485,68139020,800207018
1576404000000,1156433537,1908168603,4372761365,1069328043,183673177,675429265,589679550,2018193039,226425412,78198184,828735747
1577008800000,1407513910,2023239781,4829454698,1238433762,232044271,737001336,678791393,2434722969,255970561,95169485,976111926
1577613600000,1476863638,1904002114,4041416645,1131814732,187249135,670190250,617606884,2131838181,230426395,70073663,930526508
1578218400000,1168800830,1858942922,3762568228,1063322823,152034435,716798655,579335852,2023996581,231333921,56123198,949587655
1578823200000,979507015,1872084150,3924417089,1065114207,154511910,752744137,589760979,2031206936,218298213,58595403,970327641
1579428000000,1028777797,1836688228,3902960730,1052926098,151443404,744424724,578797283,1982283531,208239988,56301605,947295741
1580032800000,1008306174,1793781345,3790548449,1023083223,145174277,727402599,555445323,1884465792,199367595,54795247,904619195
1580637600000,1104012117,1876835058,4029652062,1070172828,151674906,749612918,569050352,1980172756,212611275,56211710,931286433
1581242400000,1043977239,1878599041,4124101314,1060474070,154462511,759625546,575920035,1985483871,224055014,59047208,921016192
1581847200000,1088416810,1860194364,4497968410,1028915342,152243414,782343993,565779857,2000479558,209600859,58066075,899110094
1582452000000,1049427266,1866797780,3862304387,1026761620,147271911,741970996,567087788,1921567708,203140496,55701425,898681801
