Epoch,Anxiety,Asthma,Atrial Fibrillation,Breast Cancer,COVID-19,Cancer,Colorectal Cancer,Coronary Artery Disease,Covid19,Depression,Diabetes,"Diabetes Mellitus, Type 2",Healthy,Healthy Volunteers,Heart Failure,Hypertension,Obesity,Pain,Prostate Cancer,Stroke
1443693600000,5,12,9,27,,8,9,13,,14,17,10,44,8,12,9,25,12,12,8
1446372000000,5,8,2,8,,6,9,6,,10,12,7,38,6,6,7,25,13,12,10
1448964000000,12,20,14,48,,20,9,31,,34,31,24,68,13,34,24,55,29,19,39
1451642400000,6,9,14,22,,10,7,5,,6,14,3,33,5,7,15,26,13,9,12
1454320800000,6,9,9,18,,8,3,12,,9,6,8,28,10,6,13,17,8,8,11
1456826400000,6,26,12,22,,14,1,14,,11,9,5,47,10,16,17,35,21,11,15
1459504800000,7,8,4,19,,9,10,12,,18,10,9,50,11,11,7,27,13,12,13
1462096800000,9,11,11,30,,9,5,12,,15,13,11,39,9,8,8,25,14,7,12
1464775200000,10,13,13,28,,17,14,23,,10,12,9,51,15,16,14,35,20,13,16
1467367200000,4,11,8,18,,6,9,14,,14,12,12,34,7,11,9,17,15,14,16
1470045600000,4,6,8,21,,11,9,10,,16,11,9,33,7,13,11,28,14,8,16
1472724000000,2,16,7,27,,12,8,7,,9,9,12,35,4,12,11,28,17,16,17
1475316000000,6,13,10,16,,10,6,9,,17,9,10,40,6,9,16,22,12,9,9
1477994400000,6,12,11,28,,8,4,14,,14,7,10,43,9,8,8,26,17,11,6
1480586400000,20,22,27,41,,23,20,36,,33,12,10,53,10,30,22,48,32,22,37
1483264800000,8,12,11,28,,9,8,15,,13,10,6,25,6,20,13,19,17,14,12
1485943200000,4,10,9,21,,8,8,6,,10,6,6,32,10,6,10,28,20,20,11
1488362400000,9,15,17,26,,14,13,13,,9,10,13,37,13,14,13,34,15,8,25
1491040800000,8,14,8,18,,15,5,13,,15,9,8,32,14,11,12,31,20,14,11
1493632800000,8,17,14,23,,11,5,11,,16,10,8,36,14,5,15,24,11,9,13
1496311200000,6,12,8,42,,14,12,17,,18,15,14,39,14,15,12,26,27,18,23
1498903200000,12,12,9,31,,10,5,11,,20,8,15,38,14,9,17,40,23,11,18
1501581600000,8,17,10,19,,6,5,14,,12,6,11,22,11,17,11,23,17,22,18
1504260000000,13,14,13,28,,14,6,13,,16,12,9,38,11,12,15,31,14,12,13
1506852000000,8,6,7,24,,12,5,11,,8,14,14,40,13,9,13,18,13,10,18
1509530400000,3,13,14,14,,9,3,17,,12,10,15,31,15,10,11,21,16,9,28
1512122400000,19,23,20,42,,21,31,34,,35,29,27,67,14,23,26,75,27,21,45
1514800800000,10,14,9,28,,12,9,8,,14,8,14,37,8,11,7,31,21,16,15
1517479200000,5,12,7,24,,4,5,10,,15,10,9,41,17,13,9,20,10,19,16
1519898400000,13,8,13,31,,8,9,18,,24,15,16,37,12,13,18,30,14,15,21
1522576800000,5,10,10,18,,13,7,8,,8,4,8,26,14,16,10,26,14,16,22
1525168800000,12,15,10,29,,13,13,12,,15,7,9,34,8,12,14,36,15,13,14
1527847200000,11,10,14,27,,13,10,19,,20,9,8,42,20,14,18,41,15,14,19
1530439200000,9,16,14,33,,10,4,15,,17,17,13,29,10,15,9,31,22,18,19
1533117600000,6,12,9,32,,14,7,9,,19,17,16,46,15,9,11,36,16,5,24
1535796000000,12,15,16,22,,11,7,11,,10,12,15,36,16,13,14,27,18,7,27
1538388000000,7,5,15,32,,15,5,15,,14,7,11,44,10,14,12,22,15,8,19
1541066400000,7,7,9,20,,12,6,8,,10,8,9,39,12,8,13,28,17,12,11
1543658400000,17,15,35,60,,38,13,28,,38,16,15,59,15,27,26,67,33,29,45
1546336800000,14,8,5,36,,12,7,14,,20,11,21,32,12,14,15,32,16,17,21
